election_date,election_name,report_seq,snapshot,report_datetime,ballots_counted_total,ballots_vbm,ballots_election_day,registered_voters,parser,datetime_source,source_url
2018-11-06,General Election,10,20181112,2018-11-12T16:07:49,323320,220921,102399,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181112/summary.txt
2018-11-06,General Election,11,20181113,2018-11-13T15:49:34,338348,235361,102987,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181113/summary.txt
2018-11-06,General Election,12,20181114,2018-11-14T15:38:03,345806,238030,107776,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181114/summary.txt
2018-11-06,General Election,13,20181115,2018-11-15T15:51:31,357443,239009,118434,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181115/summary.txt
2018-11-06,General Election,14,20181116,2018-11-16T16:27:52,365404,240557,124847,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181116/summary.txt
2018-11-06,General Election,15,20181117,2018-11-17T16:00:11,370703,244717,125986,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181117/summary.txt
2018-11-06,General Election,16,20181119,2018-11-19T16:06:48,371919,244738,127181,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181119/summary.txt
2018-11-06,General Election,17,20181120,2018-11-20T16:01:32,372461,244905,127556,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181120/summary.txt
2018-11-06,General Election,18,20181126,2018-11-26T15:54:53,372848,244962,127886,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181126/summary.txt
2018-11-06,General Election,19,20181127,2018-11-27T15:46:48,372848,244962,127886,500516,era_b_tsv,header,https://www.sfelections.org/results/20181106/data/20181127/summary.txt
2019-11-05,Consolidated Municipal Election,1,20191105_1,2019-11-05T20:48:33,69589,69589,0,495050,era_c_xml+psov,header,https://www.sfelections.org/results/20191105/data/20191105_1/summary.xml
2019-11-05,Consolidated Municipal Election,2,20191105_2,2019-11-05T21:43:23,105793,,,495050,era_c_xml,header,https://www.sfelections.org/results/20191105/data/20191105_2/summary.xml
