election_date,kind,sample_date,eligible,registered_cor,registered_ror,e_day,vbm,total,eligible_source,registered_cor_source,registered_ror_source,e_day_source,vbm_source,confidence
2006-11-07,General,2006-10-23,577544,418285,418285,145371,108348,253719,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-06/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-06/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2006-general/complete_sov.pdf),
2007-11-06,Municipal,,,419598,,71276,78189,149465,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2008-02-05,Primary,2008-01-22,592185,415761,415761,158995,110217,269212,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presprim-08/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presprim-08/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2008-primary/04_voter_stats_by_county_feb08.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2008-primary/04_voter_stats_by_county_feb08.pdf),
2008-04-08,Special,,,79340,,5332,14410,19742,,SF Dept. of Elections historical turnout table (1899–2019),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2008-06-03,Primary,2008-05-19,594741,430259,430259,83441,89594,173035,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-stwddirprim-08/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-stwddirprim-08/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2008-statewide-direct-primary/03_voter_stats_by_county_june_08.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2008-statewide-direct-primary/03_voter_stats_by_county_june_08.pdf),
2008-11-04,General,2008-10-20,599667,477651,477356,209527,178585,388112,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presgen-08/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-presgen-08/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2008-general/3_voter_part_stats_by_county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2008-general/3_voter_part_stats_by_county.pdf),
2009-05-19,Special,,,465428,,46920,83724,130644,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2009-11-03,Municipal,,,451988,,32464,69597,102061,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2010-06-08,Primary,2010-05-24,617885,447985,447985,63607,91926,155533,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-prim-10/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-prim-10/county.pdf),Certified Statement of Vote (https://sfelections.org/results/20100608/summary.php (per-party turnout blocks summed)),Certified Statement of Vote (https://sfelections.org/results/20100608/summary.php (per-party turnout blocks summed)),
2010-11-02,General,2010-10-18,620651,461771,461768,141319,143306,284625,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-10/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-10/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2010-general/03-voter-particpation-stats-by-county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2010-general/03-voter-particpation-stats-by-county.pdf),
2011-11-08,Municipal,,,464380,,84269,112973,197242,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2012-06-05,Primary,,,470668,,49779,95326,145105,,archival recovery (per-release; see sources.json),,Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2012-primary/pdf/03-voter-reg-stats-by-county.pdf),
2012-11-06,General,,,502841,,171679,193196,364875,,archival recovery (per-release; see sources.json),,SF Dept. of Elections certified results release (https://www.sfelections.org/results/20121106/),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20121106/),
2013-11-05,Municipal,,,440028,,43534,85403,128937,,archival recovery (per-release; see sources.json),,SF Dept. of Elections historical turnout table (1899–2019),SF Dept. of Elections historical turnout table (1899–2019),
2014-06-03,Primary,2014-05-19,622063,435757,434922,39406,89993,129399,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-primary-2014/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-primary-2014/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf),
2014-11-04,General,2014-10-20,625446,436019,433844,94995,136219,231214,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-general-2014/county.pdf),archival recovery (per-release; see sources.json),CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-general-2014/county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf),Certified Statement of Vote (https://elections.cdn.sos.ca.gov/sov/2014-general/pdf/03-voter-particpiation-stats-by-county.pdf),
2015-11-03,Municipal,,,446828,,77274,125795,203069,,SF Dept. of Elections certified results,,SF Dept. of Elections certified results release (https://www.sfelections.org/results/20151103/data/20151113/summary.txt),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20151103/data/20151113/summary.txt),
2016-06-07,Primary,2016-05-23,644082,468238,462927,105039,159954,264993,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-presprim-2016/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-presprim-2016/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20160607/data/20160621/summary.txt),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20160607/data/20160621/summary.txt),
2016-11-08,General,2016-10-24,646945,513573,512723,151437,263091,414528,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-16/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/ror-pages/15day-gen-16/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20161108/data/20161201/summary.txt),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20161108/data/20161201/summary.txt),
2018-06-05,Primary,2018-05-21,657193,478113,481977,89756,163827,253583,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-stwddirprim-2018/county.pdf),SF Dept. of Elections certified results,CA Secretary of State — Report of Registration (https://elections.cdn.sos.ca.gov/ror/15day-stwddirprim-2018/county.pdf),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20180605/data/20180621/summary.txt),SF Dept. of Elections certified results release (https://www.sfelections.org/results/20180605/data/20180621/summary.txt),
