county_slug,election_date,election_type,ballots_mail,ballots_polling,ballots_total,vbm_share_pct,source_url,source_page_or_table,note
sacramento,2014-06-03,primary,146425,57425,203850,71.83,https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_bernardino,2014-06-03,primary,112846,47896,160742,70.2,https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_diego,2014-06-03,primary,306986,113714,420700,72.97,https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_mateo,2014-06-03,primary,75963,21484,97447,77.95,https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
santa_clara,2014-06-03,primary,213843,50290,264133,80.96,https://elections.cdn.sos.ca.gov/sov/2014-primary/pdf/03-voter-particpiation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
san_francisco,2016-11-08,general,263091,151437,414528,63.47,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
lake,2016-11-08,general,16922,8163,25085,67.46,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
del_norte,2016-11-08,general,6137,3653,9790,62.69,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
mendocino,2016-11-08,general,32694,6036,38730,84.42,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
tehama,2016-11-08,general,17052,7489,24541,69.48,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
colusa,2016-11-08,general,4207,2607,6814,61.74,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
fresno,2016-11-08,general,160103,131787,291890,54.85,https://elections.cdn.sos.ca.gov/sov/2016-general/sov/03-voter-participation-stats-by-county.pdf,VOTER PARTICIPATION STATISTICS BY COUNTY,
